tissue,direction,go_id,term,selected_genes,term_size,overlap,p,genes,fdr
whole plant,down,GO:0009813,flavonoid biosynthetic process,32,96,1,0.127477547964109,AT4G15480,0.15608267800666217
whole plant,down,GO:0009651,response to salt stress,32,448,2,0.13206995831332954,"AT1G75940,AT2G44480",0.15608267800666217
hypocotyl,down,GO:0006357,regulation of transcription from RNA polymerase II promoter,71,170,2,0.09998511982558489,"AT1G56650,AT3G30210",0.15658047067025557
root,down,GO:0016567,protein ubiquitination,55,393,3,0.07068334854032685,"AT1G15100,AT1G20780,AT2G47560",0.157327453202663
whole plant,down,GO:0009826,unidimensional cell growth,32,107,1,0.14103700628529853,AT1G12560,0.15943313753990268
hypocotyl,down,GO:0071281,cellular response to iron ion,71,35,1,0.10439507741524262,AT1G21140,0.16045910047157663
shoot,up,GO:0098542,defense response to other organism,58,34,1,0.08375147022311356,AT3G26220,0.16071228069840712
shoot,up,GO:0016579,protein deubiquitination,58,35,1,0.08610738699959347,AT1G65110,0.16088485465713517
shoot,up,GO:0009867,jasmonic acid mediated signaling pathway,58,36,1,0.08845735027118522,AT3G15500,0.16103774023728593
hypocotyl,down,GO:0009788,negative regulation of abscisic acid-activated signaling pathway,71,36,1,0.10721419204121879,AT1G07430,0.1617959625349302
hypocotyl,down,GO:0071805,potassium ion transmembrane transport,71,37,1,0.11002455747527211,AT1G07430,0.1630721119722783
hypocotyl,up,GO:0030042,actin filament depolymerization,85,13,1,0.047836561663470945,AT4G00680,0.16378839775926776
hypocotyl,up,GO:1903507,negative regulation of nucleic acid-templated transcription,85,13,1,0.047836561663470945,AT2G34600,0.16378839775926776
hypocotyl,up,GO:0009887,organ morphogenesis,85,14,1,0.05142119680646878,AT5G17430,0.16378839775926776
hypocotyl,up,GO:0055062,phosphate ion homeostasis,85,14,1,0.05142119680646878,AT5G04340,0.16378839775926776
hypocotyl,up,GO:0009739,response to gibberellin,85,98,2,0.05271350732482181,"AT1G18570,AT4G09460",0.16378839775926776
whole plant,up,GO:0009640,photomorphogenesis,75,53,2,0.01343403074614121,"AT4G10240,AT4G32700",0.1657456261021164
whole plant,up,GO:0042218,1-aminocyclopropane-1-carboxylate biosynthetic process,75,5,1,0.01649112866705203,AT5G65800,0.1657456261021164
whole plant,up,GO:0007275,multicellular organism development,75,300,4,0.017734403564255336,"AT4G15310,AT4G28500,AT5G17260,AT5G39610",0.1657456261021164
whole plant,up,GO:0010468,regulation of gene expression,75,66,2,0.020341136205910052,"AT4G32700,AT5G39610",0.1657456261021164
whole plant,up,GO:0080110,sporopollenin biosynthetic process,75,7,1,0.023012187946266225,AT1G01280,0.1657456261021164
whole plant,up,GO:1902074,response to salt,75,7,1,0.023012187946266225,AT5G39610,0.1657456261021164
whole plant,up,GO:1900057,positive regulation of leaf senescence,75,8,1,0.026256701137199197,AT5G39610,0.1657456261021164
whole plant,up,GO:0000054,ribosomal subunit export from nucleus,75,8,1,0.026256701137199197,AT4G30300,0.1657456261021164
whole plant,up,GO:0043068,positive regulation of programmed cell death,75,11,1,0.03592658832724581,AT5G39610,0.1657456261021164
whole plant,up,GO:0010208,pollen wall assembly,75,12,1,0.039128780792943636,AT1G01280,0.1657456261021164
whole plant,up,GO:0009835,fruit ripening,75,13,1,0.042320478451853646,AT5G65800,0.1657456261021164
whole plant,up,GO:0006075,(1->3)-beta-D-glucan biosynthetic process,75,13,1,0.042320478451853646,AT5G36870,0.1657456261021164
whole plant,up,GO:0006415,translational termination,75,14,1,0.04550171523616185,AT4G30300,0.1657456261021164
whole plant,up,GO:0006949,syncytium formation,75,15,1,0.0486725249698416,AT5G56640,0.1657456261021164
whole plant,up,GO:2000652,regulation of secondary cell wall biogenesis,75,15,1,0.0486725249698416,AT4G28500,0.1657456261021164
whole plant,up,GO:0009933,meristem structural organization,75,16,1,0.051832941368993905,AT4G32700,0.1657456261021164
whole plant,up,GO:0006261,DNA-dependent DNA replication,75,16,1,0.051832941368993905,AT4G32700,0.1657456261021164
whole plant,up,GO:0016024,CDP-diacylglycerol biosynthetic process,75,17,1,0.054982998042186586,AT4G26770,0.1657456261021164
whole plant,up,GO:0010200,response to chitin,75,121,2,0.06130730035500199,"AT1G75490,AT4G15975",0.1657456261021164
whole plant,up,GO:0019853,L-ascorbic acid biosynthetic process,75,20,1,0.06437134418578537,AT5G56640,0.1657456261021164
whole plant,up,GO:0019915,lipid storage,75,21,1,0.06748029590197283,AT5G07520,0.1657456261021164
whole plant,up,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,75,130,2,0.06948707885119448,"AT2G24130,AT3G46370",0.1657456261021164
whole plant,up,GO:0018208,peptidyl-proline modification,75,22,1,0.07057905433384483,AT5G05420,0.1657456261021164
whole plant,up,GO:0019953,sexual reproduction,75,22,1,0.07057905433384483,AT5G07520,0.1657456261021164
whole plant,up,GO:0001944,vasculature development,75,23,1,0.07366765245183685,AT5G65800,0.1657456261021164
whole plant,up,GO:0009725,response to hormone,75,24,1,0.07674612312119668,AT3G21370,0.1657456261021164
whole plant,up,GO:0019762,glucosinolate catabolic process,75,25,1,0.07981449910231554,AT3G21370,0.1657456261021164
whole plant,up,GO:0009693,ethylene biosynthetic process,75,25,1,0.07981449910231554,AT5G65800,0.1657456261021164
whole plant,up,GO:0009831,plant-type cell wall modification involved in multidimensional cell growth,75,25,1,0.07981449910231554,AT5G05290,0.1657456261021164
whole plant,up,GO:0010082,regulation of root meristem growth,75,26,1,0.0828728130510582,AT5G46520,0.1657456261021164
whole plant,up,GO:0010584,pollen exine formation,75,26,1,0.0828728130510582,AT1G01280,0.1657456261021164
root,up,GO:0006906,vesicle fusion,211,39,2,0.051333470727457906,"AT1G61290,AT3G52400",0.1658951793713189
root,up,GO:2000038,regulation of stomatal complex development,211,6,1,0.054753581368858946,AT3G45640,0.1658951793713189
root,up,GO:0035336,long-chain fatty-acyl-CoA metabolic process,211,6,1,0.054753581368858946,AT3G56700,0.1658951793713189
root,up,GO:0010942,positive regulation of cell death,211,6,1,0.054753581368858946,AT2G31880,0.1658951793713189
root,up,GO:0010363,regulation of plant-type hypersensitive response,211,6,1,0.054753581368858946,AT3G52400,0.1658951793713189
root,up,GO:0045814,"negative regulation of gene expression, epigenetic",211,6,1,0.054753581368858946,AT1G03770,0.1658951793713189
root,down,GO:0009908,flower development,55,190,2,0.07821499705281533,"AT1G44090,AT5G60910",0.16865108739513304
hypocotyl,up,GO:0009682,induced systemic resistance,85,16,1,0.05855050513842451,AT1G18570,0.16882153221068044
hypocotyl,up,GO:0052544,defense response by callose deposition in cell wall,85,16,1,0.05855050513842451,AT1G18570,0.16882153221068044
hypocotyl,up,GO:0009863,salicylic acid mediated signaling pathway,85,17,1,0.06209527621542269,AT1G28480,0.16882153221068044
hypocotyl,up,GO:0006032,chitin catabolic process,85,17,1,0.06209527621542269,AT3G47540,0.16882153221068044
shoot,up,GO:0009607,response to biotic stimulus,58,40,1,0.0977979633980907,AT1G14930,0.1693574488113278
shoot,up,GO:0043086,negative regulation of catalytic activity,58,40,1,0.0977979633980907,AT3G17230,0.1693574488113278
hypocotyl,down,GO:0010311,lateral root formation,71,40,1,0.11840342588876597,AT2G42430,0.1724120061187294
whole plant,up,GO:0010268,brassinosteroid homeostasis,75,29,1,0.09198770770067491,AT4G15310,0.17282539022551044
whole plant,up,GO:0008360,regulation of cell shape,75,29,1,0.09198770770067491,AT5G36870,0.17282539022551044
shoot,up,GO:0048573,"photoperiodism, flowering",58,42,1,0.10243293154255143,AT1G25560,0.17294548564105866
shoot,up,GO:0016049,cell growth,58,43,1,0.10474163214881019,AT2G44080,0.17294548564105866
hypocotyl,up,GO:0042343,indole glucosinolate metabolic process,85,18,1,0.0656268568622593,AT5G67310,0.1730162590005018
hypocotyl,down,GO:0009834,plant-type secondary cell wall biogenesis,71,41,1,0.12117906141543434,AT2G35700,0.17341141547381123
root,up,GO:0006839,mitochondrial transport,211,42,2,0.0585812206190757,"AT2G22500,AT4G24570",0.17488217331871128
hypocotyl,up,GO:0010143,cutin biosynthetic process,85,19,1,0.06914529557960784,AT3G10570,0.17557238167220665
hypocotyl,up,GO:0009733,response to auxin,85,256,3,0.07226268746062992,"AT1G18570,AT1G43040,AT5G54490",0.17557238167220665
hypocotyl,up,GO:0071732,cellular response to nitric oxide,85,20,1,0.07265064069194757,AT3G53280,0.17557238167220665
shoot,up,GO:0048527,lateral root development,58,45,1,0.10934153908428562,AT1G13260,0.17643748352237
whole plant,up,GO:0016132,brassinosteroid biosynthetic process,75,31,1,0.09801458798887959,AT4G15310,0.1787324839797216
root,up,GO:0071219,cellular response to molecule of bacterial origin,211,7,1,0.06358453086326543,AT5G26920,0.17927305229504004
root,up,GO:1902584,positive regulation of response to water deprivation,211,7,1,0.06358453086326543,AT5G26920,0.17927305229504004
root,up,GO:0009697,salicylic acid biosynthetic process,211,7,1,0.06358453086326543,AT5G26920,0.17927305229504004
root,up,GO:0010117,photoprotection,211,7,1,0.06358453086326543,AT1G27730,0.17927305229504004
root,down,GO:0009911,positive regulation of flower development,55,37,1,0.08630821487965962,AT5G60910,0.1796766822812763
root,down,GO:0001666,response to hypoxia,55,38,1,0.08853633619657095,AT2G16060,0.1796766822812763
shoot,up,GO:0009910,negative regulation of flower development,58,47,1,0.11391821677709613,AT1G13260,0.17973763091497388
root,up,GO:0006470,protein dephosphorylation,211,99,3,0.06571796049721615,"AT2G30020,AT3G62260,AT4G33920",0.18148745608958455
root,up,GO:0048527,lateral root development,211,45,2,0.06615798891935594,"AT1G13260,AT3G50060",0.18148745608958455
hypocotyl,down,GO:0009407,toxin catabolic process,71,44,1,0.12945437639687504,AT1G02950,0.18211378374475642
hypocotyl,up,GO:2000022,regulation of jasmonic acid mediated signaling pathway,85,22,1,0.07962224252233889,AT2G34600,0.18322528879233038
hypocotyl,up,GO:0016998,cell wall macromolecule catabolic process,85,23,1,0.0830885950140576,AT3G47540,0.18322528879233038
hypocotyl,up,GO:0009814,"defense response, incompatible interaction",85,23,1,0.0830885950140576,AT5G27420,0.18322528879233038
hypocotyl,up,GO:0009625,response to insect,85,24,1,0.08654204544935568,AT1G18570,0.18322528879233038
hypocotyl,up,GO:0071369,cellular response to ethylene stimulus,85,24,1,0.08654204544935568,AT3G53280,0.18322528879233038
hypocotyl,up,GO:0006629,lipid metabolic process,85,132,2,0.08845358769284915,"AT2G30550,AT5G55320",0.18322528879233038
whole plant,up,GO:0016125,sterol metabolic process,75,33,1,0.10400199507923354,AT4G15310,0.184232105568928
whole plant,up,GO:0009828,plant-type cell wall loosening,75,34,1,0.10698097594496002,AT5G05290,0.18424501412743113
root,up,GO:0045727,positive regulation of translation,211,8,1,0.07233336472741045,AT3G08720,0.1882522184572349
root,up,GO:0010038,response to metal ion,211,8,1,0.07233336472741045,AT5G37770,0.1882522184572349
root,up,GO:0009643,photosynthetic acclimation,211,8,1,0.07233336472741045,AT5G59820,0.1882522184572349
root,up,GO:0010337,regulation of salicylic acid metabolic process,211,8,1,0.07233336472741045,AT2G41010,0.1882522184572349
whole plant,up,GO:0010029,regulation of seed germination,75,36,1,0.11290965096684734,AT5G39610,0.18919995567417663
