tissue,direction,go_id,term,selected_genes,term_size,overlap,p,genes,fdr
shoot,down,GO:0009740,gibberellic acid mediated signaling pathway,167,67,1,0.3921674109046408,AT1G60980,0.5325730271544505
shoot,down,GO:0009620,response to fungus,167,67,1,0.3921674109046408,AT2G17310,0.5325730271544505
root,up,GO:0009809,lignin biosynthetic process,211,65,1,0.4570960346583022,AT1G76470,0.5392116228195571
root,up,GO:0071555,cell wall organization,211,269,3,0.4607687242836202,"AT2G27500,AT3G28340,AT4G25810",0.5392116228195571
root,up,GO:0009553,embryo sac development,211,66,1,0.46218139098819183,AT5G18000,0.5392116228195571
root,down,GO:0009409,response to cold,55,291,1,0.510284020671269,AT3G22840,0.5416861142510393
hypocotyl,up,GO:0009611,response to wounding,85,180,1,0.49401377472693286,AT2G34600,0.5440404860916855
root,down,GO:0007275,multicellular organism development,55,300,1,0.5210496834680056,AT4G27890,0.5447337599892786
shoot,up,GO:0006457,protein folding,58,248,1,0.47325986280900834,AT3G13310,0.5508434468760589
shoot,up,GO:0042742,defense response to bacterium,58,259,1,0.4881103940619198,AT3G45860,0.5515909515072688
shoot,up,GO:0009414,response to water deprivation,58,260,1,0.4894398583796892,AT3G15500,0.5515909515072688
shoot,up,GO:0071555,cell wall organization,58,269,1,0.5012533481577547,AT2G15880,0.5531633659936164
shoot,up,GO:0006979,response to oxidative stress,58,273,1,0.5064171660504939,AT5G20250,0.5531633659936164
root,up,GO:0042545,cell wall modification,211,69,1,0.4771547517236112,AT1G53840,0.553499511999389
hypocotyl,up,GO:0009908,flower development,85,190,1,0.5128841948731538,AT3G10570,0.5577615619245548
root,down,GO:0015031,protein transport,55,321,1,0.5452740678950468,AT4G34580,0.5615509057426601
root,up,GO:0042787,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,211,72,1,0.49171316126730835,AT3G46620,0.5671464303253614
shoot,up,GO:0009409,response to cold,58,291,1,0.5290115607844846,AT5G20250,0.5690881941772487
hypocotyl,up,GO:0055085,transmembrane transport,85,203,1,0.5363793558778365,AT2G16980,0.5761111600169355
shoot,down,GO:0055085,transmembrane transport,167,203,2,0.443758592033138,"AT3G28390,AT5G52860",0.5952859161420144
root,up,GO:0040008,regulation of growth,211,78,1,0.5196305970869898,AT2G20430,0.5959605153031577
hypocotyl,up,GO:0006511,ubiquitin-dependent protein catabolic process,85,218,1,0.562100154277799,AT3G25650,0.5963745539288844
root,up,GO:0016569,covalent chromatin modification,211,79,1,0.5241327933298113,AT1G03770,0.5977469496963579
root,up,GO:0010150,leaf senescence,211,80,1,0.5285929914733531,AT1G73500,0.5979961638190336
root,up,GO:0006810,transport,211,299,3,0.5309366561607199,"AT2G22500,AT4G24570,AT5G19640",0.5979961638190336
root,up,GO:0007275,multicellular organism development,211,300,3,0.5331886977893846,"AT3G49530,AT5G24590,AT5G45340",0.5979961638190336
root,up,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,211,82,1,0.537388949559748,AT3G46620,0.5993953668166421
hypocotyl,down,GO:0071555,cell wall organization,71,269,1,0.5733653558427222,AT1G48100,0.6023965131005816
shoot,up,GO:0005975,carbohydrate metabolic process,58,329,1,0.5734249079157301,AT5G20250,0.6067837495363498
shoot,up,GO:0046686,response to cadmium ion,58,336,1,0.5811449995559407,AT4G37260,0.6067837495363498
root,down,GO:0006412,translation,55,373,1,0.600199963106398,AT2G16360,0.6090264331520804
whole plant,up,GO:0071555,cell wall organization,75,269,1,0.5933888253462117,AT5G36870,0.6131684528577522
root,up,GO:0055085,transmembrane transport,211,203,2,0.5674611738555434,"AT4G24570,AT5G17850",0.6294787884845645
shoot,down,GO:0009058,biosynthetic process,167,88,1,0.48014540353235124,AT1G08990,0.6338139309800203
shoot,down,GO:0006413,translational initiation,167,89,1,0.4840033654756518,AT2G39240,0.6338139309800203
hypocotyl,up,GO:0006457,protein folding,85,248,1,0.609385056222864,AT1G59725,0.6387530107396285
root,up,GO:0045490,pectin catabolic process,211,92,1,0.5789779089616542,AT1G53840,0.6387636713000859
hypocotyl,up,GO:0042742,defense response to bacterium,85,259,1,0.6254274493474019,AT1G18570,0.6416026322080443
hypocotyl,up,GO:0009414,response to water deprivation,85,260,1,0.6268531464101582,AT5G05410,0.6416026322080443
shoot,down,GO:0007165,signal transduction,167,362,3,0.5024381191883038,"AT1G29230,AT1G77730,AT5G26900",0.6502140365966285
shoot,down,GO:0009617,response to bacterium,167,96,1,0.5102237821629326,AT2G17310,0.6526118143944487
shoot,up,GO:0016567,protein ubiquitination,58,393,1,0.639103109283389,AT3G59940,0.6576278370887045
root,up,GO:0009739,response to gibberellin,211,98,1,0.6021224430874101,AT1G49010,0.6607073294418608
root,down,GO:0009651,response to salt stress,55,448,1,0.6681233330399802,AT1G15100,0.6681233330399802
shoot,up,GO:0009793,embryo development ending in seed dormancy,58,426,1,0.6689752660083481,AT2G03850,0.6785320555227531
shoot,down,GO:0009826,unidimensional cell growth,167,107,1,0.5487763705292004,AT1G60980,0.693855181128874
shoot,down,GO:0016567,protein ubiquitination,167,393,3,0.5578386763698877,"AT2G17310,AT3G61390,AT5G26900",0.6972983454623596
root,up,GO:0015979,photosynthesis,211,109,1,0.6413143216513784,AT1G27730,0.6998405344054357
root,up,GO:0048366,leaf development,211,110,1,0.6446806893291451,AT1G13260,0.6998405344054357
shoot,down,GO:0006869,lipid transport,167,113,1,0.568517598841291,AT3G22570,0.7026622008150788
shoot,up,GO:0016310,phosphorylation,58,467,1,0.7027216097500715,AT3G57120,0.7027216097500715
whole plant,up,GO:0007165,signal transduction,75,362,1,0.7028576327998334,AT5G46520,0.703860182511472
whole plant,up,GO:0009737,response to abscisic acid,75,363,1,0.703860182511472,AT5G39610,0.703860182511472
hypocotyl,down,GO:0009737,response to abscisic acid,71,363,1,0.6839699250182517,AT3G30210,0.7096187972064362
root,up,GO:0006633,fatty acid biosynthetic process,211,114,1,0.6578346102600277,AT5G42650,0.7103214142701363
root,up,GO:0044550,secondary metabolite biosynthetic process,211,116,1,0.6642286680628944,AT4G22710,0.7134307916231089
shoot,down,GO:0009723,response to ethylene,167,121,1,0.5935098827894386,AT1G53940,0.7174295286465742
shoot,down,GO:0010200,response to chitin,167,121,1,0.5935098827894386,AT1G64380,0.7174295286465742
hypocotyl,up,GO:0005975,carbohydrate metabolic process,85,329,1,0.7133020234593239,AT3G47540,0.7208784399933206
hypocotyl,up,GO:0046686,response to cadmium ion,85,336,1,0.7208784399933206,AT4G25200,0.7208784399933206
shoot,down,GO:0080167,response to karrikin,167,128,1,0.614194481626359,AT5G59340,0.734362967161951
root,up,GO:0080167,response to karrikin,211,128,1,0.7001711371384389,AT4G27280,0.7471542506669422
root,up,GO:0046777,protein autophosphorylation,211,129,1,0.7029874969329357,AT1G73500,0.7471542506669422
root,up,GO:0045454,cell redox homeostasis,211,131,1,0.7085414700455577,AT1G28480,0.7491349917669178
hypocotyl,down,GO:0009793,embryo development ending in seed dormancy,71,426,1,0.7417312895657119,AT4G10560,0.7600456423944949
hypocotyl,down,GO:0009651,response to salt stress,71,448,1,0.7593406449502196,AT1G56650,0.7686008967179052
shoot,down,GO:0009751,response to salicylic acid,167,141,1,0.649872101229948,AT1G53940,0.76866592618596
shoot,down,GO:0035556,intracellular signal transduction,167,146,1,0.6627034942249952,AT4G14980,0.7702467687694546
shoot,down,GO:0009753,response to jasmonic acid,167,147,1,0.6652131184827109,AT1G53940,0.7702467687694546
hypocotyl,down,GO:0016310,phosphorylation,71,467,1,0.77359225717016,AT2G14510,0.77359225717016
root,up,GO:0048364,root development,211,142,1,0.7372910514360475,AT3G59420,0.7754926603187441
shoot,down,GO:0009873,ethylene-activated signaling pathway,167,155,1,0.6846332314881411,AT1G64380,0.7790501998449824
shoot,down,GO:0009734,auxin-activated signaling pathway,167,156,1,0.6869806307723936,AT3G24280,0.7790501998449824
root,up,GO:0035556,intracellular signal transduction,211,146,1,0.7470302051216243,AT3G08720,0.7816862455654111
root,up,GO:0009793,embryo development ending in seed dormancy,211,426,3,0.762932208943174,"AT2G36640,AT3G59420,AT3G61780",0.7942319918741761
shoot,down,GO:0006357,regulation of transcription from RNA polymerase II promoter,167,170,1,0.7180773698853533,AT1G43330,0.8060052110958048
shoot,down,GO:0009611,response to wounding,167,180,1,0.7383899367724345,AT3G46860,0.8143733135033078
shoot,down,GO:0045893,"positive regulation of transcription, DNA-templated",167,181,1,0.740339375912098,AT4G10350,0.8143733135033078
shoot,down,GO:0009737,response to abscisic acid,167,363,2,0.7519485350408612,"AT2G21490,AT3G02850",0.8144658050205402
shoot,down,GO:0009908,flower development,167,190,1,0.7572471121818554,AT1G60980,0.8144658050205402
shoot,down,GO:0051301,cell division,167,193,1,0.7626361628828695,AT5G26900,0.8144658050205402
root,up,GO:0005975,carbohydrate metabolic process,211,329,2,0.8150041764741709,"AT1G09890,AT2G27500",0.8432081503128365
root,up,GO:0009735,response to cytokinin,211,181,1,0.8182857419292058,AT1G78820,0.8432081503128365
root,up,GO:0009908,flower development,211,190,1,0.8331192033680886,AT1G19180,0.854157567089505
shoot,down,GO:0009793,embryo development ending in seed dormancy,167,426,2,0.8258667043583771,"AT1G22090,AT2G33160",0.8735128603790526
shoot,down,GO:0009733,response to auxin,167,256,1,0.8519650267042831,AT3G24280,0.8765298768194977
shoot,down,GO:0042742,defense response to bacterium,167,259,1,0.8552610032205626,AT1G53940,0.8765298768194977
shoot,down,GO:0009414,response to water deprivation,167,260,1,0.8563433698900131,AT2G21490,0.8765298768194977
shoot,down,GO:0030154,cell differentiation,167,264,1,0.8605929699682342,AT1G43330,0.8765298768194977
shoot,down,GO:0006979,response to oxidative stress,167,273,1,0.8697031701023714,AT1G09350,0.8776820982684482
root,up,GO:0006412,translation,211,373,2,0.8658264634148685,"AT2G22500,AT4G24570",0.8832300104181824
shoot,down,GO:0009409,response to cold,167,291,1,0.8861857762496692,AT1G09350,0.8861857762496692
root,up,GO:0006457,protein folding,211,248,1,0.9036803073322396,AT3G13310,0.9172355119422232
root,up,GO:0015031,protein transport,211,321,1,0.9518709958608871,AT1G13340,0.9613423490535328
root,up,GO:0006508,proteolysis,211,429,1,0.9828283996348172,AT1G66180,0.9876938867617222
root,up,GO:0016310,phosphorylation,211,467,1,0.9880655653487405,AT5G35580,0.9880655653487406
